trial,diagnostic_steps,recovery_task,observation_noise,process_noise,slip_correlation,max_predicted_diagnostic_disturbance,damage,policy,estimate,param_error,posterior_entropy,posterior_confidence,action_energy,diagnostic_disturbance,max_diagnostic_disturbance,cumulative_diagnostic_disturbance,recovery_distance,nominal_recovery_distance,recovery_gain,seed
0,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.02,0.0200,0.7545,0.7672,12.8550,0.0881,0.1148,1.4909,0.0190,0.1202,0.1012,7
0,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.02,0.0200,0.9800,0.6087,12.8550,0.0999,0.1932,2.9420,0.0260,0.0402,0.0142,8
0,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,random_probe,g0.60_1.00_s0.10,0.1000,1.1536,0.5341,8.1740,0.6287,0.7075,10.0203,0.1012,0.0153,-0.0860,9
0,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,task_greedy,g0.60_1.00_s0.20,0.2000,1.9228,0.2527,12.4197,1.3115,1.2936,16.5686,0.0240,0.0176,-0.0064,10
0,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_1.00_s0.02,0.0200,0.4087,0.9086,16.2000,0.4058,0.3956,4.2599,0.0237,0.0093,-0.0144,11
0,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.02,0.0200,0.7746,0.6610,18.2250,0.1173,0.1264,1.9278,0.0614,0.0591,-0.0024,12
0,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.75_s0.02,0.1300,1.3102,0.5134,12.8550,0.0549,0.1114,1.3525,0.0928,0.0357,-0.0570,13
0,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.02,0.0200,1.1945,0.6134,12.8550,0.0146,0.2890,3.5530,0.0286,0.0288,0.0002,14
0,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,random_probe,g0.90_0.60_s0.10,0.2000,1.7179,0.2954,7.1374,0.2082,0.3278,4.6096,0.0236,0.0273,0.0037,15
0,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,task_greedy,g1.00_0.75_s0.02,0.1300,1.7282,0.2631,12.4511,1.3120,1.3069,16.7234,0.0168,0.0236,0.0068,16
0,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g1.00_0.60_s0.02,0.0200,0.8384,0.5653,16.2000,0.3713,0.3598,3.7750,0.0269,0.0144,-0.0125,17
0,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g1.00_0.60_s0.02,0.0200,0.1967,0.9604,19.1363,0.0661,0.1026,1.4145,0.0235,0.0054,-0.0181,18
0,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.75_s0.02,0.0600,0.6549,0.7854,12.8550,0.0282,0.0651,0.8320,0.0428,0.1016,0.0587,19
0,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,unpaired_null,g0.75_0.75_s0.02,0.0600,2.0489,0.2681,12.8550,0.0441,0.2054,2.4255,0.0641,0.0586,-0.0055,20
0,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,random_probe,g0.75_0.90_s0.10,0.2900,2.5817,0.2168,5.5917,0.3380,0.3795,5.4731,0.0428,0.0478,0.0050,21
0,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,task_greedy,g0.75_0.75_s0.20,0.2400,1.3022,0.3215,11.7613,1.2087,1.2088,15.1882,0.0411,0.0528,0.0117,22
0,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,fisher_grid,g0.75_0.75_s0.02,0.0600,0.3504,0.9277,16.2000,0.2410,0.2487,2.4712,0.0380,0.0565,0.0185,23
0,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,constrained_fisher,g0.75_0.75_s0.10,0.1400,0.3899,0.9035,19.4400,0.0499,0.0741,0.9187,0.0700,0.0326,-0.0374,24
0,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,null_probe,g1.00_0.90_s0.20,0.1000,1.6734,0.3498,12.8550,0.1160,0.1866,2.2504,0.1232,0.1299,0.0068,25
0,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,unpaired_null,g1.00_1.00_s0.20,0.0000,1.1022,0.5068,12.8550,0.1057,0.3129,3.9147,0.0678,0.0678,0.0000,26
0,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,random_probe,g1.00_1.00_s0.20,0.0000,0.9204,0.7343,6.3056,0.0971,0.3435,4.9713,0.0553,0.0553,0.0000,27
0,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,task_greedy,g1.00_1.00_s0.02,0.1800,2.1387,0.2154,11.7614,1.7018,1.7071,21.2678,0.1907,0.1907,0.0000,28
0,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,fisher_grid,g1.00_1.00_s0.20,0.0000,0.3100,0.9329,16.2000,0.4410,0.4337,4.6554,0.1221,0.1221,0.0000,29
0,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,constrained_fisher,g1.00_1.00_s0.20,0.0000,1.4688,0.4426,6.0750,0.1336,0.1362,2.9461,0.0796,0.0796,0.0000,30
1,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.02,0.0200,0.9747,0.6655,12.8550,0.0188,0.1011,1.2554,0.0356,0.0661,0.0305,1031
1,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.02,0.0200,0.5968,0.8403,12.8550,0.0791,0.2062,2.9718,0.0905,0.0125,-0.0780,1032
1,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,random_probe,g0.60_1.00_s0.02,0.0200,1.3438,0.5144,6.3234,0.1606,0.2934,4.5357,0.0155,0.0398,0.0243,1033
1,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,task_greedy,g0.60_1.00_s0.20,0.2000,1.8032,0.2067,12.4443,1.2740,1.2827,16.3755,0.0588,0.0378,-0.0210,1034
1,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_1.00_s0.10,0.1000,0.9025,0.5754,16.2000,0.3513,0.3433,3.5680,0.0216,0.0298,0.0082,1035
1,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.02,0.0200,0.4223,0.8691,15.8963,0.1235,0.1194,2.1604,0.0036,0.1382,0.1346,1036
1,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.02,0.0200,1.1446,0.5611,12.8550,0.0069,0.1000,1.1657,0.0745,0.0330,-0.0416,1037
1,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.02,0.0200,1.0597,0.5933,12.8550,0.0353,0.2914,3.6165,0.0214,0.1388,0.1174,1038
1,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,random_probe,g1.00_0.60_s0.02,0.0200,1.4262,0.4540,5.7230,0.2411,0.2424,3.5138,0.0598,0.0997,0.0398,1039
1,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,task_greedy,g1.00_0.60_s0.02,0.0200,1.6714,0.2743,12.4438,1.3141,1.3129,16.7901,0.0166,0.0236,0.0070,1040
1,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g1.00_0.60_s0.02,0.0200,0.8122,0.7017,16.2000,0.3559,0.3381,3.3717,0.0951,0.1347,0.0396,1041
1,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g1.00_0.60_s0.02,0.0200,0.2955,0.9421,18.1238,0.1155,0.1241,1.9533,0.0140,0.0509,0.0369,1042
1,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.75_s0.02,0.0600,0.7848,0.6925,12.8550,0.0224,0.0809,0.9318,0.0501,0.0829,0.0329,1043
1,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,unpaired_null,g0.75_0.75_s0.02,0.0600,1.0638,0.4646,12.8550,0.0269,0.2028,2.3898,0.0615,0.0497,-0.0117,1044
1,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,random_probe,g0.75_0.75_s0.02,0.0600,2.0930,0.2826,5.7112,0.2506,0.3073,2.2409,0.0264,0.0486,0.0222,1045
1,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,task_greedy,g0.75_0.75_s0.20,0.2400,1.2790,0.3241,11.7614,1.2411,1.2248,15.4483,0.0421,0.0830,0.0409,1046
1,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,fisher_grid,g0.60_0.75_s0.10,0.2300,1.5032,0.3610,16.2000,0.2506,0.2541,2.7298,0.0466,0.0181,-0.0285,1047
1,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,constrained_fisher,g0.75_0.75_s0.10,0.1400,0.5720,0.8518,19.4400,0.0383,0.0927,1.3027,0.0337,0.0990,0.0652,1048
1,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,null_probe,g1.00_1.00_s0.20,0.0000,1.1880,0.4726,12.8550,0.1044,0.1887,2.8350,0.0286,0.0286,0.0000,1049
1,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,unpaired_null,g1.00_1.00_s0.20,0.0000,1.3737,0.4244,12.8550,0.0583,0.3088,3.9220,0.1881,0.1881,0.0000,1050
1,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,random_probe,g0.90_1.00_s0.20,0.1000,2.2665,0.1630,5.4553,0.2490,0.3960,4.5459,0.1041,0.1265,0.0224,1051
1,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,task_greedy,g1.00_1.00_s0.20,0.0000,1.5325,0.2948,11.7615,1.6918,1.6947,21.2426,0.0525,0.0525,0.0000,1052
1,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,fisher_grid,g1.00_1.00_s0.20,0.0000,0.1316,0.9760,16.2000,0.4157,0.4035,4.8533,0.1809,0.1809,0.0000,1053
1,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,constrained_fisher,g1.00_1.00_s0.20,0.0000,0.1489,0.9735,15.9975,0.1119,0.1491,2.4540,0.2428,0.2428,0.0000,1054
2,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.10,0.1000,1.7709,0.4449,12.8550,0.0743,0.1105,1.2547,0.0353,0.0690,0.0338,2055
2,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.10,0.1000,1.8397,0.3753,12.8550,0.0699,0.1654,2.2387,0.0184,0.0221,0.0037,2056
2,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,random_probe,g0.60_0.90_s0.02,0.1200,1.6239,0.4106,6.1284,0.1264,0.3968,5.0342,0.0112,0.1490,0.1378,2057
2,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,task_greedy,g0.60_0.90_s0.20,0.3000,1.8922,0.1799,12.4262,1.2668,1.2837,16.4958,0.0164,0.0258,0.0094,2058
2,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_1.00_s0.02,0.0200,0.4281,0.8980,16.2000,0.3485,0.3455,3.5359,0.0239,0.0228,-0.0011,2059
2,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.02,0.0200,0.2962,0.9207,19.4400,0.0319,0.1108,1.4636,0.0613,0.0130,-0.0483,2060
2,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.02,0.0200,0.5773,0.8443,12.8550,0.0820,0.1230,1.5241,0.0175,0.0508,0.0333,2061
2,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.02,0.0200,0.6881,0.8145,12.8550,0.0694,0.2956,3.6114,0.0159,0.0264,0.0104,2062
2,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,random_probe,g1.00_0.60_s0.02,0.0200,1.1293,0.6713,6.3621,0.3391,0.3506,4.8783,0.0281,0.1830,0.1549,2063
2,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,task_greedy,g1.00_0.60_s0.10,0.1000,1.7503,0.2188,12.4496,1.2638,1.2753,16.3408,0.0115,0.0239,0.0124,2064
2,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g1.00_0.60_s0.02,0.0200,1.1042,0.5447,16.2000,0.3810,0.3626,3.7459,0.0162,0.0312,0.0150,2065
2,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g1.00_0.60_s0.02,0.0200,0.2104,0.9544,17.3138,0.0942,0.1112,1.8404,0.0655,0.0211,-0.0444,2066
2,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.75_s0.02,0.0600,0.9697,0.6974,12.8550,0.0266,0.0675,0.8626,0.0271,0.0856,0.0585,2067
2,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,unpaired_null,g0.75_0.75_s0.02,0.0600,0.5423,0.8423,12.8550,0.0285,0.2044,2.3370,0.0144,0.0513,0.0369,2068
2,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,random_probe,g0.60_0.60_s0.02,0.2400,1.8281,0.2657,6.2682,0.1904,0.2568,3.6341,0.0636,0.0542,-0.0094,2069
2,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,task_greedy,g0.75_0.75_s0.02,0.0600,1.9022,0.2478,11.7613,1.2371,1.2342,15.4782,0.0733,0.1160,0.0427,2070
2,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,fisher_grid,g0.75_0.75_s0.02,0.0600,1.4258,0.4145,16.2000,0.2467,0.2591,2.8066,0.0653,0.0638,-0.0015,2071
2,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,constrained_fisher,g0.75_0.75_s0.02,0.0600,0.1965,0.9624,19.4400,0.0167,0.0882,1.1356,0.0460,0.0437,-0.0022,2072
2,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,null_probe,g1.00_1.00_s0.20,0.0000,0.1528,0.9690,12.8550,0.0976,0.2256,2.6778,0.0328,0.0328,0.0000,2073
2,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,unpaired_null,g1.00_1.00_s0.10,0.1000,1.6124,0.3728,12.8550,0.0472,0.3044,3.9318,0.0996,0.0996,0.0000,2074
2,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,random_probe,g0.90_0.90_s0.20,0.2000,1.4970,0.3887,6.9899,0.3658,0.4821,8.2035,0.1395,0.1289,-0.0106,2075
2,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,task_greedy,g0.90_0.90_s0.20,0.2000,2.3559,0.1176,11.7618,1.6538,1.6453,20.7003,0.1763,0.2155,0.0393,2076
2,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,fisher_grid,g1.00_1.00_s0.20,0.0000,0.9880,0.6958,16.2000,0.4069,0.3933,4.3064,0.0774,0.0774,0.0000,2077
2,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,constrained_fisher,g1.00_1.00_s0.20,0.0000,0.7147,0.5983,18.8325,0.0943,0.1482,2.3587,0.2377,0.2377,0.0000,2078
3,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.02,0.0200,1.4481,0.4407,12.8550,0.0581,0.1066,1.5356,0.0537,0.0657,0.0119,3079
3,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.10,0.1000,1.3164,0.4854,12.8550,0.0317,0.1751,2.3144,0.0745,0.0271,-0.0474,3080
3,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,random_probe,g0.60_1.00_s0.02,0.0200,1.5684,0.4457,6.6211,0.1257,0.2965,3.4987,0.0122,0.0330,0.0208,3081
3,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,task_greedy,g0.60_1.00_s0.02,0.0200,1.6536,0.2785,12.4442,1.2843,1.2852,16.4006,0.0511,0.0251,-0.0260,3082
3,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_1.00_s0.02,0.0200,0.4142,0.8906,16.2000,0.3640,0.3540,3.8370,0.0035,0.0186,0.0151,3083
3,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.02,0.0200,0.2243,0.9556,17.8200,0.1339,0.1205,2.0499,0.0211,0.0282,0.0071,3084
3,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.02,0.0200,0.8462,0.7434,12.8550,0.0652,0.0866,1.0780,0.0151,0.1614,0.1462,3085
3,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.10,0.1000,1.2453,0.5808,12.8550,0.0731,0.2697,3.3232,0.0209,0.0249,0.0041,3086
3,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,random_probe,g1.00_0.60_s0.10,0.1000,1.7807,0.2878,6.6560,0.2506,0.2451,2.4163,0.0129,0.1595,0.1466,3087
3,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,task_greedy,g1.00_0.60_s0.02,0.0200,1.7265,0.2415,12.4185,1.3043,1.2778,16.3731,0.0183,0.0191,0.0008,3088
3,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g1.00_0.60_s0.02,0.0200,1.2295,0.5615,16.2000,0.3697,0.3643,3.3803,0.0763,0.0152,-0.0611,3089
3,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g1.00_0.60_s0.02,0.0200,0.4323,0.8948,19.4400,0.0062,0.0999,1.2267,0.0359,0.1318,0.0959,3090
3,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.75_s0.02,0.0600,0.6002,0.8173,12.8550,0.0441,0.0779,0.9748,0.0358,0.0926,0.0569,3091
3,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,unpaired_null,g0.75_0.75_s0.02,0.0600,0.7730,0.7091,12.8550,0.0386,0.2039,2.4704,0.0410,0.0684,0.0273,3092
3,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,random_probe,g0.75_0.60_s0.10,0.2300,2.4492,0.1642,4.8133,0.1959,0.2225,2.9752,0.0385,0.1051,0.0666,3093
3,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,task_greedy,g0.60_0.60_s0.02,0.2400,1.7248,0.2714,11.7616,1.2366,1.2123,14.9958,0.0199,0.0817,0.0618,3094
3,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,fisher_grid,g0.75_0.75_s0.02,0.0600,0.2853,0.9303,16.2000,0.2457,0.2438,2.6788,0.0429,0.0574,0.0145,3095
3,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,constrained_fisher,g0.75_0.75_s0.02,0.0600,0.8703,0.5114,19.1363,0.0302,0.0974,1.2181,0.0696,0.0849,0.0153,3096
3,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,null_probe,g1.00_1.00_s0.10,0.1000,1.8311,0.4269,12.8550,0.0707,0.1171,1.5688,0.0881,0.0881,0.0000,3097
3,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,unpaired_null,g0.90_0.90_s0.20,0.2000,1.3576,0.3498,12.8550,0.1415,0.3168,3.9852,0.0440,0.0311,-0.0130,3098
3,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,random_probe,g1.00_1.00_s0.20,0.0000,1.8636,0.3190,5.8059,0.2549,0.2523,3.2513,0.1639,0.1639,0.0000,3099
3,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,task_greedy,g1.00_1.00_s0.20,0.0000,2.3642,0.1516,11.7629,1.7338,1.7143,21.4131,0.1775,0.1775,0.0000,3100
3,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,fisher_grid,g1.00_1.00_s0.20,0.0000,0.4888,0.8439,16.2000,0.3454,0.3560,4.0913,0.0619,0.0619,0.0000,3101
3,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,constrained_fisher,g1.00_1.00_s0.20,0.0000,0.1219,0.9758,16.6050,0.1166,0.1555,2.3572,0.1117,0.1117,0.0000,3102
4,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.02,0.0200,1.1219,0.6222,12.8550,0.0556,0.0931,1.2442,0.0170,0.0266,0.0096,4103
4,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.02,0.0200,0.9350,0.5570,12.8550,0.0261,0.1924,2.6359,0.0383,0.1554,0.1170,4104
4,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,random_probe,g0.60_1.00_s0.02,0.0200,1.7173,0.4016,6.9739,0.2377,0.2448,3.1488,0.0144,0.0217,0.0072,4105
4,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,task_greedy,g0.60_1.00_s0.02,0.0200,1.5234,0.2969,12.4323,1.3061,1.3006,16.4082,0.0185,0.0168,-0.0017,4106
4,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_1.00_s0.02,0.0200,0.2935,0.9360,16.2000,0.3190,0.3256,3.3709,0.0133,0.0244,0.0111,4107
4,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.02,0.0200,0.4851,0.8865,17.9213,0.0854,0.1150,1.9616,0.0211,0.1801,0.1591,4108
4,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.02,0.0200,1.2040,0.5508,12.8550,0.0544,0.1247,1.4938,0.0252,0.0232,-0.0020,4109
4,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.10,0.1000,1.1501,0.5836,12.8550,0.0407,0.2788,3.4574,0.0778,0.0238,-0.0540,4110
4,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,random_probe,g1.00_0.75_s0.02,0.1300,1.5553,0.2913,6.9955,0.2220,0.3676,5.1409,0.0165,0.0927,0.0762,4111
4,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,task_greedy,g1.00_0.60_s0.02,0.0200,1.8120,0.1779,12.4400,1.3102,1.3004,16.3837,0.0050,0.0158,0.0108,4112
4,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g1.00_0.60_s0.10,0.1000,0.8744,0.5396,16.2000,0.3793,0.3867,3.9161,0.0552,0.0410,-0.0142,4113
4,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g1.00_0.60_s0.02,0.0200,0.2195,0.9570,19.1363,0.0868,0.1059,1.8451,0.0877,0.0103,-0.0774,4114
4,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.75_s0.02,0.0600,1.1042,0.5605,12.8550,0.0265,0.0756,1.0267,0.0284,0.0653,0.0369,4115
4,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,unpaired_null,g0.75_0.75_s0.02,0.0600,1.0272,0.6416,12.8550,0.0733,0.2089,2.5873,0.0454,0.0533,0.0079,4116
4,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,random_probe,g0.75_0.75_s0.02,0.0600,1.5635,0.4623,7.1536,0.1624,0.1515,1.7754,0.0308,0.0689,0.0381,4117
4,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,task_greedy,g0.75_0.75_s0.02,0.0600,2.0257,0.2215,11.7610,1.2202,1.2129,15.1695,0.0317,0.0931,0.0615,4118
4,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,fisher_grid,g0.75_0.75_s0.02,0.0600,0.3206,0.9277,16.2000,0.2416,0.2495,2.6325,0.0200,0.0432,0.0232,4119
4,24,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,constrained_fisher,g0.75_0.75_s0.02,0.0600,0.7680,0.7430,19.1363,0.0578,0.0952,1.3480,0.0356,0.0366,0.0010,4120
4,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,null_probe,g1.00_1.00_s0.20,0.0000,1.7682,0.3324,12.8550,0.0639,0.1702,2.0143,0.0453,0.0453,0.0000,4121
4,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,unpaired_null,g1.00_1.00_s0.10,0.1000,1.3809,0.4690,12.8550,0.0488,0.2999,3.8101,0.0349,0.0349,0.0000,4122
4,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,random_probe,g1.00_1.00_s0.20,0.0000,0.8324,0.6656,7.0326,0.7077,0.7158,7.7871,0.1048,0.1048,0.0000,4123
4,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,task_greedy,g0.90_0.90_s0.20,0.2000,1.8869,0.2681,11.7616,1.7061,1.6741,20.9496,0.1476,0.0952,-0.0524,4124
4,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,fisher_grid,g1.00_1.00_s0.20,0.0000,0.2135,0.9465,16.2000,0.3786,0.3725,5.2401,0.1426,0.1426,0.0000,4125
4,24,straight_goal,0.01,0.003,0.0,0.12,high_slip,constrained_fisher,g1.00_1.00_s0.20,0.0000,1.1201,0.5909,6.0750,0.1148,0.1252,2.7652,0.0449,0.0449,0.0000,4126
5,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.02,0.0200,0.8696,0.6915,12.8550,0.0714,0.1009,1.3104,0.0295,0.0299,0.0004,5127
5,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.02,0.0200,0.9523,0.6844,12.8550,0.0642,0.1891,2.6198,0.1035,0.0358,-0.0677,5128
5,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,random_probe,g0.60_1.00_s0.02,0.0200,1.0819,0.6121,6.7624,0.4613,0.6096,8.5933,0.0095,0.0231,0.0136,5129
5,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,task_greedy,g0.60_1.00_s0.20,0.2000,1.7514,0.2308,12.4423,1.2749,1.2826,16.2156,0.0238,0.0759,0.0520,5130
5,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_0.90_s0.10,0.2000,1.3778,0.4386,16.2000,0.3778,0.3764,4.0938,0.0061,0.0120,0.0059,5131
5,24,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.10,0.1000,0.4373,0.8900,18.5288,0.0853,0.1114,1.7524,0.0321,0.0379,0.0057,5132
5,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.10,0.1000,1.3064,0.5225,12.8550,0.0301,0.0870,1.0820,0.0862,0.0658,-0.0204,5133
5,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.75_s0.02,0.1300,1.2888,0.5162,12.8550,0.0411,0.2725,3.4835,0.1473,0.0158,-0.1315,5134
5,24,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,random_probe,g1.00_0.60_s0.02,0.0200,1.3915,0.5752,6.7190,0.3370,0.3220,3.1964,0.0475,0.0295,-0.0180,5135
